#Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ 
3333393000 ; 4.03281 ; 3.283 ; 0 ; 0
3333487000 ; 4.04011 ; 3.28384 ; 0 ; 0
3333575000 ; 4.07907 ; 3.283 ; 0 ; 0
3333670000 ; 4.05959 ; 3.28316 ; 0 ; 0
3333757000 ; 4.05229 ; 3.28308 ; 0 ; 0
3333851000 ; 4.04011 ; 3.28278 ; 0 ; 0
3333938000 ; 4.05472 ; 3.283 ; 0 ; 0
3334032000 ; 4.0462 ; 3.28461 ; 0 ; 0
3334117000 ; 4.03646 ; 3.283 ; 0 ; 0
3334211000 ; 4.05594 ; 3.2827 ; 0 ; 0
3334298000 ; 4.05837 ; 3.28316 ; 0 ; 0
3334385000 ; 4.0669 ; 3.28476 ; 0 ; 0
3334470000 ; 4.04985 ; 3.28285 ; 0 ; 0
3334563000 ; 4.05229 ; 3.28278 ; 0 ; 0
3334656000 ; 4.0535 ; 3.28278 ; 0 ; 0
3334749000 ; 4.05716 ; 3.28255 ; 0 ; 0
3334835000 ; 4.05959 ; 3.28308 ; 0 ; 0
3334928000 ; 4.05959 ; 3.2827 ; 0 ; 0
3335018000 ; 3.98898 ; 3.28316 ; 0 ; 0
3335119000 ; 3.85384 ; 3.28293 ; 0 ; 0
3335206000 ; 3.74427 ; 3.2827 ; 0 ; 0
3335294000 ; 3.72479 ; 3.2827 ; 0 ; 0
3335389000 ; 3.9488 ; 3.28293 ; 0 ; 0
3335483000 ; 3.8721 ; 3.2827 ; 0 ; 0
3335578000 ; 3.90132 ; 3.28285 ; 0 ; 0
3335664000 ; 3.87697 ; 3.283 ; 0 ; 0
3335759000 ; 3.89037 ; 3.28278 ; 0 ; 0
3335844000 ; 3.89645 ; 3.284 ; 0 ; 0
3335938000 ; 3.89524 ; 3.28308 ; 0 ; 0
3336032000 ; 3.8855 ; 3.28262 ; 0 ; 0
3336127000 ; 3.90254 ; 3.28278 ; 0 ; 0
3336214000 ; 3.8928 ; 3.283 ; 0 ; 0
3336308000 ; 3.88793 ; 3.28255 ; 0 ; 0
3336394000 ; 3.87089 ; 3.28262 ; 0 ; 0
3336488000 ; 3.75036 ; 3.28278 ; 0 ; 0
3336578000 ; 4.02307 ; 3.2827 ; 0 ; 0
3336665000 ; 3.88793 ; 3.28423 ; 0 ; 0
3336759000 ; 3.9135 ; 3.28293 ; 0 ; 0
3336846000 ; 4.08881 ; 3.28232 ; 0 ; 0
3336939000 ; 4.08516 ; 3.28308 ; 0 ; 0
3337034000 ; 4.08516 ; 3.28293 ; 0 ; 0
3337128000 ; 4.10342 ; 3.2827 ; 0 ; 0
3337221000 ; 4.10099 ; 3.28278 ; 0 ; 0
3337309000 ; 4.08516 ; 3.28262 ; 0 ; 0
3337395000 ; 4.08516 ; 3.28262 ; 0 ; 0
3337489000 ; 4.09003 ; 3.28278 ; 0 ; 0
3337576000 ; 4.09125 ; 3.283 ; 0 ; 0
3337661000 ; 3.84167 ; 3.28323 ; 0 ; 0
3337754000 ; 3.86236 ; 3.28514 ; 0 ; 0
3337840000 ; 4.09246 ; 3.28308 ; 0 ; 0
3337933000 ; 4.07907 ; 3.28491 ; 0 ; 0
3338022000 ; 4.08881 ; 3.283 ; 0 ; 0
3338116000 ; 4.07785 ; 3.28285 ; 0 ; 0
3338211000 ; 4.06933 ; 3.283 ; 0 ; 0
3338306000 ; 4.06811 ; 3.28316 ; 0 ; 0
3338399000 ; 4.08638 ; 3.283 ; 0 ; 0
3338491000 ; 4.09125 ; 3.28415 ; 0 ; 0
3338583000 ; 3.78445 ; 3.28407 ; 0 ; 0
3338675000 ; 3.66392 ; 3.2827 ; 0 ; 0
3338768000 ; 3.82949 ; 3.28461 ; 0 ; 0
3338859000 ; 4.01089 ; 3.283 ; 0 ; 0
3338942000 ; 3.99994 ; 3.28545 ; 0 ; 0
3339036000 ; 4.01455 ; 3.28285 ; 0 ; 0
3339126000 ; 4.00724 ; 3.283 ; 0 ; 0
3339217000 ; 3.99263 ; 3.283 ; 0 ; 0
3339317000 ; 3.9975 ; 3.2827 ; 0 ; 0
3339418000 ; 4.02794 ; 3.283 ; 0 ; 0
3339517000 ; 4.01333 ; 3.28278 ; 0 ; 0
3339629000 ; 4.00724 ; 3.2827 ; 0 ; 0
