#Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ ; Function Name ; File Name ; Line number
120089000 ; 0.000992211 ; 3.29941 ; 0 ; 0 ; Unknown ; Unknown ; -1
120182000 ; 0.00129357 ; 3.29918 ; 0 ; 0 ; Unknown ; Unknown ; -1
120269000 ; 0.00136224 ; 3.29964 ; 0 ; 0 ; Unknown ; Unknown ; -1
120362000 ; 0.00112954 ; 3.30048 ; 0 ; 0 ; Unknown ; Unknown ; -1
120455000 ; 0.000904473 ; 3.29987 ; 0 ; 0 ; Unknown ; Unknown ; -1
120548000 ; 0.00153008 ; 3.29918 ; 0 ; 0 ; Unknown ; Unknown ; -1
120641000 ; 0.00214806 ; 3.29933 ; 0 ; 0 ; Unknown ; Unknown ; -1
120740000 ; 0.00128213 ; 3.29956 ; 0 ; 0 ; Unknown ; Unknown ; -1
120826000 ; 0.00110284 ; 3.29971 ; 0 ; 0 ; Unknown ; Unknown ; -1
120923000 ; 0.000858697 ; 3.29948 ; 0 ; 0 ; Unknown ; Unknown ; -1
121016000 ; 0.0016636 ; 3.29964 ; 0 ; 0 ; Unknown ; Unknown ; -1
121110000 ; 0.00100747 ; 3.29971 ; 0 ; 0 ; Unknown ; Unknown ; -1
121202000 ; 0.00138131 ; 3.29979 ; 0 ; 0 ; Unknown ; Unknown ; -1
121295000 ; 0.00126687 ; 3.29948 ; 0 ; 0 ; Unknown ; Unknown ; -1
121386000 ; 0.00134316 ; 3.29941 ; 0 ; 0 ; Unknown ; Unknown ; -1
121479000 ; 0.00134316 ; 3.30185 ; 0 ; 0 ; Unknown ; Unknown ; -1
121567000 ; 0.00114098 ; 3.29994 ; 0 ; 0 ; Unknown ; Unknown ; -1
121652000 ; 0.00143472 ; 3.29933 ; 0 ; 0 ; Unknown ; Unknown ; -1
121745000 ; 0.0015072 ; 3.29971 ; 0 ; 0 ; Unknown ; Unknown ; -1
121832000 ; 0.00136605 ; 3.30177 ; 0 ; 0 ; Unknown ; Unknown ; -1
121923000 ; 0.00151482 ; 3.29964 ; 0 ; 0 ; Unknown ; Unknown ; -1
122017000 ; 0.00107232 ; 3.29926 ; 0 ; 0 ; Unknown ; Unknown ; -1
122103000 ; 0.00133553 ; 3.29956 ; 0 ; 0 ; Unknown ; Unknown ; -1
122198000 ; 0.00120202 ; 3.29948 ; 0 ; 0 ; Unknown ; Unknown ; -1
122283000 ; 0.00146523 ; 3.30322 ; 0 ; 0 ; Unknown ; Unknown ; -1
122376000 ; 0.00142709 ; 3.30193 ; 0 ; 0 ; Unknown ; Unknown ; -1
122468000 ; 0.00106088 ; 3.29948 ; 0 ; 0 ; Unknown ; Unknown ; -1
122561000 ; 0.000973138 ; 3.29941 ; 0 ; 0 ; Unknown ; Unknown ; -1
122647000 ; 0.00130502 ; 3.302 ; 0 ; 0 ; Unknown ; Unknown ; -1
122733000 ; 0.00118295 ; 3.30147 ; 0 ; 0 ; Unknown ; Unknown ; -1
122826000 ; 4.6802 ; 3.30093 ; 0 ; 0 ; Unknown ; Unknown ; -1
122926000 ; 4.55724 ; 3.29941 ; 0 ; 0 ; Unknown ; Unknown ; -1
123012000 ; 4.6315 ; 3.29994 ; 0 ; 0 ; Unknown ; Unknown ; -1
123097000 ; 4.59133 ; 3.30193 ; 0 ; 0 ; Unknown ; Unknown ; -1
123188000 ; 4.62907 ; 3.29956 ; 0 ; 0 ; Unknown ; Unknown ; -1
123275000 ; 4.55967 ; 3.29918 ; 0 ; 0 ; Unknown ; Unknown ; -1
123369000 ; 4.55724 ; 3.29941 ; 0 ; 0 ; Unknown ; Unknown ; -1
123454000 ; 4.56941 ; 3.29933 ; 0 ; 0 ; Unknown ; Unknown ; -1
123547000 ; 4.62055 ; 3.29948 ; 0 ; 0 ; Unknown ; Unknown ; -1
123634000 ; 4.60959 ; 3.29941 ; 0 ; 0 ; Unknown ; Unknown ; -1
123727000 ; 4.48663 ; 3.29987 ; 0 ; 0 ; Unknown ; Unknown ; -1
123821000 ; 4.56576 ; 3.29941 ; 0 ; 0 ; Unknown ; Unknown ; -1
123910000 ; 4.6035 ; 3.29979 ; 0 ; 0 ; Unknown ; Unknown ; -1
124005000 ; 4.57672 ; 3.30193 ; 0 ; 0 ; Unknown ; Unknown ; -1
124092000 ; 4.56333 ; 3.30032 ; 0 ; 0 ; Unknown ; Unknown ; -1
124177000 ; 4.56333 ; 3.30063 ; 0 ; 0 ; Unknown ; Unknown ; -1
124264000 ; 4.66438 ; 3.29903 ; 0 ; 0 ; Unknown ; Unknown ; -1
124358000 ; 4.61446 ; 3.30139 ; 0 ; 0 ; Unknown ; Unknown ; -1
124450000 ; 4.63394 ; 3.29948 ; 0 ; 0 ; Unknown ; Unknown ; -1
