#Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ 
3291855000 ; 4.05107 ; 3.28278 ; 0 ; 0
3291947000 ; 4.06081 ; 3.28316 ; 0 ; 0
3292040000 ; 4.05837 ; 3.28239 ; 0 ; 0
3292127000 ; 4.0462 ; 3.28247 ; 0 ; 0
3292214000 ; 4.05472 ; 3.28316 ; 0 ; 0
3292306000 ; 4.05107 ; 3.28262 ; 0 ; 0
3292400000 ; 4.05107 ; 3.28339 ; 0 ; 0
3292488000 ; 4.0535 ; 3.2827 ; 0 ; 0
3292575000 ; 4.04742 ; 3.28438 ; 0 ; 0
3292669000 ; 4.05594 ; 3.28285 ; 0 ; 0
3292764000 ; 4.0462 ; 3.28293 ; 0 ; 0
3292851000 ; 4.05837 ; 3.28278 ; 0 ; 0
3292937000 ; 4.05229 ; 3.28255 ; 0 ; 0
3293030000 ; 4.05472 ; 3.28255 ; 0 ; 0
3293124000 ; 4.05837 ; 3.28461 ; 0 ; 0
3293210000 ; 4.06203 ; 3.28537 ; 0 ; 0
3293304000 ; 4.06324 ; 3.2827 ; 0 ; 0
3293398000 ; 4.04864 ; 3.28285 ; 0 ; 0
3293490000 ; 4.05229 ; 3.28316 ; 0 ; 0
3293585000 ; 4.04133 ; 3.28262 ; 0 ; 0
3293679000 ; 4.04985 ; 3.28308 ; 0 ; 0
3293779000 ; 4.04133 ; 3.28247 ; 0 ; 0
3293870000 ; 4.06446 ; 3.28293 ; 0 ; 0
3293964000 ; 4.04133 ; 3.28285 ; 0 ; 0
3294051000 ; 4.04498 ; 3.28476 ; 0 ; 0
3294137000 ; 4.05959 ; 3.28445 ; 0 ; 0
3294225000 ; 4.04011 ; 3.284 ; 0 ; 0
3294316000 ; 4.0462 ; 3.28354 ; 0 ; 0
3294406000 ; 4.06324 ; 3.28323 ; 0 ; 0
3294501000 ; 4.04864 ; 3.28468 ; 0 ; 0
3294588000 ; 4.04985 ; 3.2843 ; 0 ; 0
3294675000 ; 4.04985 ; 3.28445 ; 0 ; 0
3294774000 ; 4.03646 ; 3.28285 ; 0 ; 0
3294866000 ; 4.06446 ; 3.28278 ; 0 ; 0
3294961000 ; 4.03524 ; 3.28445 ; 0 ; 0
3295057000 ; 4.07542 ; 3.28331 ; 0 ; 0
3295151000 ; 4.04864 ; 3.2827 ; 0 ; 0
3295237000 ; 4.0669 ; 3.28293 ; 0 ; 0
3295324000 ; 4.07298 ; 3.28262 ; 0 ; 0
3295419000 ; 4.04742 ; 3.2827 ; 0 ; 0
3295512000 ; 4.06081 ; 3.28323 ; 0 ; 0
3295607000 ; 4.0535 ; 3.28491 ; 0 ; 0
3295698000 ; 4.04985 ; 3.2827 ; 0 ; 0
3295792000 ; 4.06446 ; 3.28308 ; 0 ; 0
3295888000 ; 4.04864 ; 3.28285 ; 0 ; 0
3295974000 ; 4.04255 ; 3.28308 ; 0 ; 0
3296070000 ; 4.04864 ; 3.28316 ; 0 ; 0
3296164000 ; 4.05959 ; 3.28308 ; 0 ; 0
3296258000 ; 4.05837 ; 3.28316 ; 0 ; 0
3296353000 ; 4.05107 ; 3.2827 ; 0 ; 0
3296448000 ; 4.05594 ; 3.28316 ; 0 ; 0
3296535000 ; 4.04377 ; 3.2869 ; 0 ; 0
3296627000 ; 4.04498 ; 3.28331 ; 0 ; 0
3296723000 ; 4.05472 ; 3.28293 ; 0 ; 0
3296809000 ; 4.07785 ; 3.28354 ; 0 ; 0
3296904000 ; 4.0535 ; 3.2827 ; 0 ; 0
3296998000 ; 4.03768 ; 3.28278 ; 0 ; 0
3297091000 ; 4.04985 ; 3.28323 ; 0 ; 0
3297177000 ; 4.06081 ; 3.28316 ; 0 ; 0
