#Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ 
3435932000 ; 0.000656153 ; 3.283 ; 0 ; 0
3436026000 ; 0.000663783 ; 3.28323 ; 0 ; 0
3436112000 ; 0.000709559 ; 3.28293 ; 0 ; 0
3436212000 ; 0.000663783 ; 3.28339 ; 0 ; 0
3436302000 ; 0.00070193 ; 3.28285 ; 0 ; 0
3436388000 ; 0.000755335 ; 3.28369 ; 0 ; 0
3436475000 ; 0.000785853 ; 3.28316 ; 0 ; 0
3436570000 ; 0.000698115 ; 3.28331 ; 0 ; 0
3436665000 ; 0.000778224 ; 3.28331 ; 0 ; 0
3436762000 ; 0.000724818 ; 3.28362 ; 0 ; 0
3436860000 ; 0.00102236 ; 3.283 ; 0 ; 0
3436946000 ; 0.00102618 ; 3.28316 ; 0 ; 0
3437041000 ; 0.00120547 ; 3.28346 ; 0 ; 0
3437127000 ; 0.000671412 ; 3.28331 ; 0 ; 0
3437219000 ; 0.000682856 ; 3.28346 ; 0 ; 0
3437306000 ; 0.000774409 ; 3.28293 ; 0 ; 0
3437398000 ; 0.000656153 ; 3.28362 ; 0 ; 0
3437491000 ; 0.000713374 ; 3.28293 ; 0 ; 0
3437586000 ; 0.000808741 ; 3.283 ; 0 ; 0
3437679000 ; 0.00106051 ; 3.28339 ; 0 ; 0
3437771000 ; 0.000659968 ; 3.28255 ; 0 ; 0
3437865000 ; 0.000656153 ; 3.28293 ; 0 ; 0
3437951000 ; 0.000812556 ; 3.28308 ; 0 ; 0
3438037000 ; 0.00088885 ; 3.28323 ; 0 ; 0
3438128000 ; 0.000686671 ; 3.283 ; 0 ; 0
3438221000 ; 0.000656153 ; 3.283 ; 0 ; 0
3438317000 ; 0.000717188 ; 3.28293 ; 0 ; 0
3438404000 ; 4.56849 ; 3.28636 ; 0 ; 0
3438491000 ; 4.70363 ; 3.28499 ; 0 ; 0
3438585000 ; 4.54536 ; 3.28331 ; 0 ; 0
3438672000 ; 4.62084 ; 3.28262 ; 0 ; 0
3438764000 ; 4.58675 ; 3.28331 ; 0 ; 0
3438858000 ; 4.56849 ; 3.28308 ; 0 ; 0
3438951000 ; 4.64762 ; 3.28308 ; 0 ; 0
3439051000 ; 4.58553 ; 3.28293 ; 0 ; 0
3439143000 ; 4.53684 ; 3.2827 ; 0 ; 0
3439236000 ; 4.63301 ; 3.28316 ; 0 ; 0
3439335000 ; 4.53805 ; 3.28293 ; 0 ; 0
3439420000 ; 4.6184 ; 3.28255 ; 0 ; 0
3439514000 ; 4.5551 ; 3.28529 ; 0 ; 0
3439601000 ; 4.68902 ; 3.28453 ; 0 ; 0
3439696000 ; 4.51857 ; 3.283 ; 0 ; 0
3439788000 ; 4.60258 ; 3.28285 ; 0 ; 0
3439887000 ; 4.55388 ; 3.28323 ; 0 ; 0
3439981000 ; 4.56484 ; 3.28346 ; 0 ; 0
3440069000 ; 4.56727 ; 3.28384 ; 0 ; 0
3440162000 ; 4.6038 ; 3.28278 ; 0 ; 0
3440257000 ; 0.000675227 ; 3.28476 ; 0 ; 0
3440342000 ; 0.000659968 ; 3.28323 ; 0 ; 0
3440434000 ; 0.00088885 ; 3.28316 ; 0 ; 0
3440527000 ; 0.000732447 ; 3.28331 ; 0 ; 0
3440613000 ; 0.000663783 ; 3.28316 ; 0 ; 0
3440707000 ; 0.000770594 ; 3.28392 ; 0 ; 0
3440792000 ; 0.000675227 ; 3.28331 ; 0 ; 0
3440884000 ; 0.00107958 ; 3.28293 ; 0 ; 0
3440971000 ; 0.00123217 ; 3.28339 ; 0 ; 0
3441066000 ; 0.000782038 ; 3.28316 ; 0 ; 0
3441157000 ; 0.000709559 ; 3.28339 ; 0 ; 0
3441244000 ; 0.000656153 ; 3.28339 ; 0 ; 0
3441337000 ; 0.000659968 ; 3.28331 ; 0 ; 0
3441431000 ; 0.00104144 ; 3.28377 ; 0 ; 0
3441517000 ; 0.00127032 ; 3.28407 ; 0 ; 0
3441603000 ; 0.0010834 ; 3.28804 ; 0 ; 0
3441695000 ; 0.000690486 ; 3.28392 ; 0 ; 0
