#Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ 
3393698000 ; 0.000770594 ; 3.28323 ; 0 ; 0
3393791000 ; 0.000690486 ; 3.28308 ; 0 ; 0
3393879000 ; 0.000721003 ; 3.28453 ; 0 ; 0
3393973000 ; 0.000713374 ; 3.28415 ; 0 ; 0
3394066000 ; 0.000679041 ; 3.28293 ; 0 ; 0
3394161000 ; 0.000717188 ; 3.28308 ; 0 ; 0
3394248000 ; 0.000930812 ; 3.28323 ; 0 ; 0
3394343000 ; 0.000675227 ; 3.283 ; 0 ; 0
3394430000 ; 0.000972773 ; 3.28285 ; 0 ; 0
3394517000 ; 0.00075915 ; 3.283 ; 0 ; 0
3394610000 ; 0.00101473 ; 3.28278 ; 0 ; 0
3394707000 ; 0.000663783 ; 3.28293 ; 0 ; 0
3394800000 ; 0.000690486 ; 3.28346 ; 0 ; 0
3394895000 ; 0.00128939 ; 3.283 ; 0 ; 0
3394988000 ; 0.000667597 ; 3.28316 ; 0 ; 0
3395079000 ; 0.000843073 ; 3.28308 ; 0 ; 0
3395173000 ; 0.000656153 ; 3.2827 ; 0 ; 0
3395262000 ; 0.000930812 ; 3.28499 ; 0 ; 0
3395350000 ; 0.000827815 ; 3.28537 ; 0 ; 0
3395442000 ; 0.000919367 ; 3.28339 ; 0 ; 0
3395536000 ; 0.000904109 ; 3.28323 ; 0 ; 0
3395624000 ; 0.000667597 ; 3.28285 ; 0 ; 0
3395715000 ; 0.00075915 ; 3.28354 ; 0 ; 0
3395815000 ; 0.000751521 ; 3.28476 ; 0 ; 0
3395902000 ; 0.0009537 ; 3.283 ; 0 ; 0
3395993000 ; 0.000656153 ; 3.28339 ; 0 ; 0
3396079000 ; 0.000724818 ; 3.28323 ; 0 ; 0
3396165000 ; 0.000793482 ; 3.28339 ; 0 ; 0
3396251000 ; 0.000839259 ; 3.28384 ; 0 ; 0
3396337000 ; 0.000797297 ; 3.28537 ; 0 ; 0
3396429000 ; 0.000812556 ; 3.283 ; 0 ; 0
3396522000 ; 0.000663783 ; 3.28316 ; 0 ; 0
3396608000 ; 0.000865962 ; 3.28331 ; 0 ; 0
3396701000 ; 0.000896479 ; 3.28476 ; 0 ; 0
3396789000 ; 0.000652339 ; 3.28331 ; 0 ; 0
3396874000 ; 0.000869776 ; 3.28285 ; 0 ; 0
3396969000 ; 0.000827815 ; 3.28285 ; 0 ; 0
3397060000 ; 0.000721003 ; 3.28377 ; 0 ; 0
3397146000 ; 0.000736262 ; 3.28537 ; 0 ; 0
3397241000 ; 0.000896479 ; 3.28262 ; 0 ; 0
3397332000 ; 0.000713374 ; 3.28377 ; 0 ; 0
3397432000 ; 0.00088885 ; 3.283 ; 0 ; 0
3397517000 ; 0.000690486 ; 3.283 ; 0 ; 0
3397608000 ; 0.00107196 ; 3.28285 ; 0 ; 0
3397692000 ; 0.000755335 ; 3.28293 ; 0 ; 0
3397776000 ; 0.0006943 ; 3.28438 ; 0 ; 0
3397868000 ; 0.000877406 ; 3.28339 ; 0 ; 0
3397962000 ; 0.000644709 ; 3.28323 ; 0 ; 0
3398047000 ; 0.000938441 ; 3.28506 ; 0 ; 0
3398140000 ; 0.000705744 ; 3.28278 ; 0 ; 0
3398235000 ; 0.000656153 ; 3.28323 ; 0 ; 0
3398328000 ; 0.000675227 ; 3.28346 ; 0 ; 0
3398415000 ; 0.000862147 ; 3.283 ; 0 ; 0
3398501000 ; 0.000919367 ; 3.283 ; 0 ; 0
3398587000 ; 0.000679041 ; 3.28293 ; 0 ; 0
3398671000 ; 0.000671412 ; 3.28293 ; 0 ; 0
3398759000 ; 0.000656153 ; 3.28552 ; 0 ; 0
3398852000 ; 0.000682856 ; 3.28323 ; 0 ; 0
3398938000 ; 0.000751521 ; 3.28621 ; 0 ; 0
3399033000 ; 0.000682856 ; 3.28308 ; 0 ; 0
3399125000 ; 0.00070193 ; 3.28278 ; 0 ; 0
3399211000 ; 0.000717188 ; 3.28529 ; 0 ; 0
3399304000 ; 0.000732447 ; 3.2827 ; 0 ; 0
3399397000 ; 0.000919367 ; 3.283 ; 0 ; 0
3399491000 ; 0.000873591 ; 3.28499 ; 0 ; 0
3399585000 ; 0.000690486 ; 3.28339 ; 0 ; 0
3399672000 ; 0.000747706 ; 3.28339 ; 0 ; 0
3399759000 ; 0.000671412 ; 3.28308 ; 0 ; 0
3399846000 ; 0.000846888 ; 3.28293 ; 0 ; 0
3399940000 ; 0.000747706 ; 3.28316 ; 0 ; 0
3400034000 ; 0.000743891 ; 3.28308 ; 0 ; 0
3400121000 ; 0.000675227 ; 3.28506 ; 0 ; 0
3400214000 ; 0.00100711 ; 3.28484 ; 0 ; 0
3400300000 ; 0.000656153 ; 3.28537 ; 0 ; 0
3400386000 ; 0.000846888 ; 3.28339 ; 0 ; 0
3400474000 ; 0.00120928 ; 3.28552 ; 0 ; 0
3400566000 ; 0.000671412 ; 3.28331 ; 0 ; 0
3400658000 ; 0.000812556 ; 3.28285 ; 0 ; 0
3400751000 ; 0.00103762 ; 3.28331 ; 0 ; 0
3400835000 ; 0.000743891 ; 3.28293 ; 0 ; 0
3400929000 ; 0.000854518 ; 3.28316 ; 0 ; 0
