#Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ 
1588795816 ; 33.7728 ; 3.29315 ; 0 ; 0
1588876816 ; 33.7801 ; 3.29269 ; 0 ; 0
1588956816 ; 33.7923 ; 3.29185 ; 0 ; 0
1589033816 ; 30.4394 ; 3.29155 ; 0 ; 0
1589119816 ; 33.7813 ; 3.29201 ; 0 ; 0
1589200816 ; 33.7801 ; 3.29346 ; 0 ; 0
1589282816 ; 33.7874 ; 3.29185 ; 0 ; 0
1589365816 ; 33.7886 ; 3.29201 ; 0 ; 0
1589456816 ; 33.7801 ; 3.2917 ; 0 ; 0
1589545816 ; 33.7752 ; 3.29185 ; 0 ; 0
1589627816 ; 33.774 ; 3.29231 ; 0 ; 0
1589705816 ; 33.7935 ; 3.29231 ; 0 ; 0
1589794816 ; 33.7789 ; 3.29178 ; 0 ; 0
1589875816 ; 33.7752 ; 3.29407 ; 0 ; 0
1589953816 ; 33.7691 ; 3.29315 ; 0 ; 0
1590036816 ; 33.7691 ; 3.2917 ; 0 ; 0
1590119816 ; 33.7655 ; 3.29178 ; 0 ; 0
1590206816 ; 33.7959 ; 3.29224 ; 0 ; 0
1590291816 ; 29.1355 ; 3.29201 ; 0 ; 0
1590380816 ; 33.7752 ; 3.29208 ; 0 ; 0
1590457816 ; 33.7801 ; 3.29239 ; 0 ; 0
1590537816 ; 33.7777 ; 3.29147 ; 0 ; 0
1590617816 ; 33.7898 ; 3.29185 ; 0 ; 0
1590696816 ; 33.7801 ; 3.29239 ; 0 ; 0
1590780816 ; 33.7703 ; 3.29132 ; 0 ; 0
1590857816 ; 33.7716 ; 3.29178 ; 0 ; 0
1590938816 ; 33.7691 ; 3.29216 ; 0 ; 0
1591017816 ; 33.7703 ; 3.29346 ; 0 ; 0
1591102816 ; 33.7801 ; 3.29193 ; 0 ; 0
1591183816 ; 29.9938 ; 3.29239 ; 0 ; 0
1591261816 ; 33.774 ; 3.29208 ; 0 ; 0
1591343816 ; 33.7545 ; 3.29185 ; 0 ; 0
1591429816 ; 33.7813 ; 3.29178 ; 0 ; 0
1591507816 ; 33.7947 ; 3.29208 ; 0 ; 0
1591589816 ; 30.4077 ; 3.29147 ; 0 ; 0
1591667816 ; 33.7789 ; 3.29231 ; 0 ; 0
1591747816 ; 33.7874 ; 3.29269 ; 0 ; 0
1591828816 ; 33.7862 ; 3.29224 ; 0 ; 0
1591910816 ; 33.7789 ; 3.29323 ; 0 ; 0
1591998816 ; 29.4654 ; 3.29231 ; 0 ; 0
1592077816 ; 33.7643 ; 3.29414 ; 0 ; 0
1592160816 ; 33.7716 ; 3.29216 ; 0 ; 0
1592244816 ; 33.7825 ; 3.29216 ; 0 ; 0
1592334816 ; 33.7923 ; 3.29216 ; 0 ; 0
1592421816 ; 29.1757 ; 3.29224 ; 0 ; 0
1592502816 ; 33.7618 ; 3.29384 ; 0 ; 0
1592582816 ; 33.7935 ; 3.29208 ; 0 ; 0
1592660816 ; 30.6634 ; 3.29346 ; 0 ; 0
1592741816 ; 33.7935 ; 3.29216 ; 0 ; 0
1592827816 ; 33.7777 ; 3.29208 ; 0 ; 0
1592903816 ; 33.7436 ; 3.29208 ; 0 ; 0
