#Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ 
1531946816 ; 7.31258 ; 3.28506 ; 0 ; 0
1532031816 ; 7.30284 ; 3.28468 ; 0 ; 0
1532109816 ; 7.31745 ; 3.28514 ; 0 ; 0
1532194816 ; 7.30649 ; 3.28728 ; 0 ; 0
1532274816 ; 7.3138 ; 3.28453 ; 0 ; 0
1532354816 ; 7.3211 ; 3.28438 ; 0 ; 0
1532437816 ; 7.30527 ; 3.28506 ; 0 ; 0
1532520816 ; 7.31258 ; 3.28453 ; 0 ; 0
1532600816 ; 7.32232 ; 3.28522 ; 0 ; 0
1532682816 ; 7.32353 ; 3.28499 ; 0 ; 0
1532764816 ; 7.30771 ; 3.28499 ; 0 ; 0
1532850816 ; 7.31623 ; 3.28453 ; 0 ; 0
1532928816 ; 7.31745 ; 3.28499 ; 0 ; 0
1533006816 ; 7.30406 ; 3.28491 ; 0 ; 0
1533097816 ; 7.30893 ; 3.28667 ; 0 ; 0
1533183816 ; 7.32475 ; 3.28461 ; 0 ; 0
1533265816 ; 7.3284 ; 3.28484 ; 0 ; 0
1533344816 ; 7.30893 ; 3.28468 ; 0 ; 0
1533428816 ; 7.32597 ; 3.28499 ; 0 ; 0
1533511816 ; 7.30771 ; 3.28499 ; 0 ; 0
1533592816 ; 7.31258 ; 3.28499 ; 0 ; 0
1533674816 ; 7.3211 ; 3.28461 ; 0 ; 0
1533760816 ; 7.31258 ; 3.28468 ; 0 ; 0
1533844816 ; 7.31623 ; 3.2869 ; 0 ; 0
1533924816 ; 7.30771 ; 3.28735 ; 0 ; 0
1534001816 ; 7.30162 ; 3.28705 ; 0 ; 0
1534082816 ; 7.31623 ; 3.28476 ; 0 ; 0
1534177816 ; 7.30771 ; 3.28499 ; 0 ; 0
1534263816 ; 7.30527 ; 3.28476 ; 0 ; 0
1534350816 ; 7.31136 ; 3.28522 ; 0 ; 0
1534430816 ; 7.32353 ; 3.28506 ; 0 ; 0
1534508816 ; 7.30406 ; 3.28705 ; 0 ; 0
1534588816 ; 7.31988 ; 3.28499 ; 0 ; 0
1534666816 ; 7.32353 ; 3.28575 ; 0 ; 0
1534748816 ; 7.3284 ; 3.28484 ; 0 ; 0
1534826816 ; 7.32353 ; 3.28476 ; 0 ; 0
1534906816 ; 7.29553 ; 3.28537 ; 0 ; 0
1534985816 ; 7.31988 ; 3.28674 ; 0 ; 0
1535067816 ; 7.30893 ; 3.28522 ; 0 ; 0
1535147816 ; 7.31623 ; 3.28461 ; 0 ; 0
1535228816 ; 7.3211 ; 3.28484 ; 0 ; 0
1535314816 ; 7.3004 ; 3.28476 ; 0 ; 0
1535407816 ; 7.31014 ; 3.28461 ; 0 ; 0
1535492816 ; 7.3138 ; 3.28484 ; 0 ; 0
1535571816 ; 7.30162 ; 3.28468 ; 0 ; 0
