#Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ 
1619096816 ; 33.7923 ; 3.29254 ; 0 ; 0
1619177816 ; 33.7801 ; 3.29323 ; 0 ; 0
1619258816 ; 33.8008 ; 3.29239 ; 0 ; 0
1619339816 ; 29.3157 ; 3.29178 ; 0 ; 0
1619424816 ; 33.791 ; 3.29178 ; 0 ; 0
1619502816 ; 33.7837 ; 3.29208 ; 0 ; 0
1619591816 ; 33.8044 ; 3.29224 ; 0 ; 0
1619678816 ; 33.791 ; 3.29224 ; 0 ; 0
1619759816 ; 29.9439 ; 3.28697 ; 0 ; 0
1619837816 ; 7.30771 ; 3.28812 ; 0 ; 0
1619934816 ; 7.33084 ; 3.28575 ; 0 ; 0
1620013816 ; 29.0965 ; 3.2872 ; 0 ; 0
1620094816 ; 7.3211 ; 3.28751 ; 0 ; 0
1620177816 ; 7.31745 ; 3.2856 ; 0 ; 0
1620259816 ; 7.32353 ; 3.28896 ; 0 ; 0
1620340816 ; 7.32719 ; 3.28766 ; 0 ; 0
1620421816 ; 28.8226 ; 3.28972 ; 0 ; 0
1620499816 ; 7.31867 ; 3.28667 ; 0 ; 0
1620582816 ; 7.30771 ; 3.28537 ; 0 ; 0
1620666816 ; 7.31623 ; 3.28659 ; 0 ; 0
1620744816 ; 7.32232 ; 3.28552 ; 0 ; 0
1620827816 ; 7.38319 ; 3.28575 ; 0 ; 0
1620905816 ; 7.39658 ; 3.28598 ; 0 ; 0
1620988816 ; 7.39293 ; 3.28537 ; 0 ; 0
1621067816 ; 7.38684 ; 3.28613 ; 0 ; 0
1621153816 ; 7.3905 ; 3.28621 ; 0 ; 0
1621237816 ; 7.38684 ; 3.28697 ; 0 ; 0
1621317816 ; 7.30893 ; 3.28865 ; 0 ; 0
1621397816 ; 7.32597 ; 3.28476 ; 0 ; 0
1621480816 ; 28.9127 ; 3.28606 ; 0 ; 0
1621561816 ; 7.3211 ; 3.28575 ; 0 ; 0
1621639816 ; 7.31501 ; 3.28476 ; 0 ; 0
1621716816 ; 7.38441 ; 3.28743 ; 0 ; 0
1621796816 ; 7.30649 ; 3.28506 ; 0 ; 0
1621878816 ; 7.3138 ; 3.28529 ; 0 ; 0
1621964816 ; 7.46233 ; 3.28957 ; 0 ; 0
1622046816 ; 7.29919 ; 3.28506 ; 0 ; 0
1622123816 ; 7.31258 ; 3.28453 ; 0 ; 0
1622201816 ; 31.9442 ; 3.28819 ; 0 ; 0
1622285816 ; 7.30893 ; 3.28758 ; 0 ; 0
1622365816 ; 7.33084 ; 3.28491 ; 0 ; 0
1622447816 ; 7.39293 ; 3.28743 ; 0 ; 0
1622531816 ; 7.40632 ; 3.28499 ; 0 ; 0
1622609816 ; 7.38197 ; 3.28506 ; 0 ; 0
1622696816 ; 7.38319 ; 3.2859 ; 0 ; 0
1622778816 ; 7.39415 ; 3.2872 ; 0 ; 0
1622864816 ; 7.31258 ; 3.28529 ; 0 ; 0
1622943816 ; 7.37832 ; 3.28499 ; 0 ; 0
1623035816 ; 28.5255 ; 3.28735 ; 0 ; 0
1623135816 ; 7.41363 ; 3.28651 ; 0 ; 0
1623215816 ; 7.33327 ; 3.28491 ; 0 ; 0
1623293816 ; 7.30406 ; 3.28819 ; 0 ; 0
1623383816 ; 7.31501 ; 3.28529 ; 0 ; 0
1623468816 ; 7.30284 ; 3.28506 ; 0 ; 0
1623551816 ; 7.31258 ; 3.28636 ; 0 ; 0
1623629816 ; 7.31258 ; 3.28506 ; 0 ; 0
1623707816 ; 7.31623 ; 3.28491 ; 0 ; 0
1623790816 ; 7.40632 ; 3.28926 ; 0 ; 0
1623868816 ; 7.31745 ; 3.28659 ; 0 ; 0
1623948816 ; 7.30527 ; 3.28499 ; 0 ; 0
1624031816 ; 29.7467 ; 3.2888 ; 0 ; 0
1624115816 ; 7.30771 ; 3.28484 ; 0 ; 0
1624195816 ; 7.3004 ; 3.28644 ; 0 ; 0
1624274816 ; 28.8043 ; 3.28644 ; 0 ; 0
1624365816 ; 7.31501 ; 3.28506 ; 0 ; 0
1624447816 ; 7.30649 ; 3.2856 ; 0 ; 0
1624524816 ; 7.30406 ; 3.28568 ; 0 ; 0
1624605816 ; 7.33327 ; 3.28484 ; 0 ; 0
1624689816 ; 29.5689 ; 3.28659 ; 0 ; 0
1624772816 ; 7.3138 ; 3.28468 ; 0 ; 0
1624854816 ; 7.32475 ; 3.28545 ; 0 ; 0
1624938816 ; 7.32475 ; 3.28705 ; 0 ; 0
1625022816 ; 7.31258 ; 3.28484 ; 0 ; 0
1625105816 ; 7.3284 ; 3.28575 ; 0 ; 0
1625185816 ; 7.31501 ; 3.28552 ; 0 ; 0
